City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,lukaya,-0.15,31.87,75.2,73,96,2.24,UG,1579375451
335,norman wells,65.28,-126.83,-11.2,76,5,9.17,CA,1579375451
336,dwarka,22.24,68.97,70.36,41,0,17.45,IN,1579375451
337,bengkulu,-3.8,102.27,73.54,93,100,3.65,ID,1579375451
338,codrington,-38.27,141.97,62.2,91,52,11.59,AU,1579375452
339,san isidro,-12.12,-77.05,75.2,73,90,10.29,PE,1579375452
340,sangamner,19.57,74.22,62.49,47,3,4.52,IN,1579375452
341,carbonia,39.17,8.52,53.01,81,40,3.36,IT,1579375452
342,gamba,-2.65,10.0,80.55,80,6,5.84,GA,1579375452
343,copalillo,18.03,-99.12,87.01,34,14,1.01,MX,1579375452
344,veinticinco de mayo,-35.43,-60.17,91.8,19,3,6.62,AR,1579375453
345,sept-iles,50.2,-66.38,5.0,42,40,9.17,CA,1579375428
346,chapais,49.78,-74.85,-7.6,76,20,4.7,CA,1579375453
347,umm lajj,25.02,37.27,61.57,71,76,8.21,SA,1579375454
348,requena,39.49,-1.1,60.01,62,20,4.7,ES,1579375454
349,ilulissat,69.22,-51.1,1.4,37,20,11.41,GL,1579375454
350,aasiaat,68.71,-52.87,-9.09,68,0,6.58,GL,1579375454
351,vestmannaeyjar,63.44,-20.27,37.4,93,75,18.34,IS,1579375454
352,hofn,64.25,-15.21,40.15,67,33,10.27,IS,1579375454
353,itarema,-2.92,-39.92,87.08,61,70,11.34,BR,1579375454
354,port hawkesbury,45.62,-61.35,16.0,78,90,21.92,CA,1579375455
355,leh,34.17,77.58,-12.55,86,24,3.02,IN,1579375455
356,dongsheng,39.82,109.98,8.67,75,0,13.44,CN,1579375455
357,caranavi,-15.82,-67.55,79.84,56,61,2.17,BO,1579375455
358,zhigansk,66.77,123.37,-12.05,95,100,19.1,RU,1579375455
359,do gonbadan,30.36,50.8,53.6,54,75,8.75,IR,1579375456
360,cuamba,-14.8,36.54,73.94,93,100,2.75,MZ,1579375456
361,plettenberg bay,-34.05,23.37,62.73,88,100,19.17,ZA,1579375456
362,omboue,-1.57,9.26,78.21,90,84,3.58,GA,1579375456
363,phan thiet,10.93,108.1,66.88,90,50,2.35,VN,1579375456
364,braganca,-1.05,-46.77,84.61,70,98,5.06,BR,1579375457
365,fallon,39.47,-118.78,41.0,35,75,4.7,US,1579375457
366,la libertad,-2.23,-80.9,84.2,70,97,9.17,EC,1579375457
367,zeya,53.75,127.27,-17.21,99,88,1.12,RU,1579375457
368,yurgamysh,55.37,64.47,22.91,91,44,10.89,RU,1579375457
369,grand gaube,-20.01,57.66,80.6,88,40,6.93,MU,1579375457
370,gavle,60.67,17.14,39.0,92,74,7.0,SE,1579375458
371,siuna,13.73,-84.78,83.44,54,17,7.96,NI,1579375458
372,faanui,-16.48,-151.75,81.64,78,89,15.61,PF,1579375458
373,merrill,45.18,-89.68,28.4,74,90,10.29,US,1579375458
374,tambura,5.6,27.47,79.88,20,59,5.08,SS,1579375458
375,quzhou,28.96,118.87,41.34,87,100,3.09,CN,1579375458
376,saldanha,-33.01,17.94,71.6,49,23,20.8,ZA,1579375459
377,puerto del rosario,28.5,-13.86,66.2,82,0,11.41,ES,1579375459
378,fayaoue,-20.65,166.53,77.72,81,63,16.44,NC,1579375459
379,pitimbu,-7.47,-34.81,86.0,66,75,13.87,BR,1579375460
